<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gold.Coin.140012,20210804,1162500.00,1166500.00,1141100.00,1156780.00,199428907500,172400,555,D,1152149.00,1160001.00
Gold.Coin.140012,20210803,1134999.00,1169360.00,1125600.00,1152149.00,173283173200,150400,585,D,1141285.00,1164000.00
Gold.Coin.140012,20210802,1148000.00,1158000.00,1128200.00,1141285.00,196415101300,172100,477,D,1148608.00,1129999.00
Gold.Coin.140012,20210801,1172800.00,1172800.00,1138000.00,1148608.00,256484219700,223300,765,D,1157218.00,1140000.00
Gold.Coin.140012,20210731,1141000.00,1166436.00,1134000.00,1157218.00,497951141300,430300,1001,D,1110807.00,1166436.00
Gold.Coin.140012,20210728,1090000.00,1127900.00,1087303.00,1110807.00,454320120400,409000,1018,D,1089861.00,1126000.00
Gold.Coin.140012,20210727,1080122.00,1098500.00,1080122.00,1089861.00,310065603200,284500,913,D,1070398.00,1087890.00
Gold.Coin.140012,20210726,1053000.00,1084000.00,1052997.00,1070398.00,302601630500,282700,947,D,1037981.00,1079001.00
Gold.Coin.140012,20210719,1036000.00,1038899.00,1035501.00,1037981.00,86671434700,83500,252,D,1037300.00,1038000.00
Gold.Coin.140012,20210718,1038000.00,1040996.00,1036000.00,1037300.00,100721841800,97100,303,D,1040412.00,1039900.00
Gold.Coin.140012,20210717,1043000.00,1048866.00,1037932.00,1040412.00,355404745500,341600,586,D,1038919.00,1038555.00
Gold.Coin.140012,20210714,1046499.00,1046500.00,1036000.00,1038919.00,246223739500,237000,501,D,1046613.00,1038000.00
Gold.Coin.140012,20210713,1054222.00,1061800.00,1042502.00,1046613.00,204194197600,195100,629,D,1059358.00,1048678.00
Gold.Coin.140012,20210712,1065799.00,1067500.00,1054000.00,1059358.00,156043418600,147300,434,D,1063411.00,1057500.00
Gold.Coin.140012,20210711,1064750.00,1067500.00,1060000.00,1063411.00,158235493600,148800,338,D,1065816.00,1063001.00
Gold.Coin.140012,20210710,1069110.00,1069500.00,1061030.00,1065816.00,76099301800,71400,229,D,1060306.00,1069500.00
Gold.Coin.140012,20210707,1065000.00,1065000.00,1058010.00,1060306.00,51636894900,48700,212,D,1064392.00,1061888.00
Gold.Coin.140012,20210706,1057000.00,1069600.00,1057000.00,1064392.00,100691526700,94600,296,D,1053949.00,1067001.00
Gold.Coin.140012,20210705,1056999.00,1059980.00,1051500.00,1053949.00,71563145500,67900,309,D,1068057.00,1052000.00
Gold.Coin.140012,20210704,1074800.00,1075000.00,1060000.00,1068057.00,196308870200,183800,500,D,1067951.00,1063000.00
Gold.Coin.140012,20210703,1075900.00,1075900.00,1062011.00,1067951.00,190522499600,178400,351,D,1069988.00,1068900.00
Gold.Coin.140012,20210630,1072000.00,1075000.00,1067000.00,1069988.00,229298491800,214300,426,D,1073966.00,1069201.00
